Play_Type,mean,count,Position
2-Pt Attempt,29.311827956989248,9672,N/A
Block,88.50815217391305,2208,N/A
Blocked Kick,31.994471210804832,12661,N/A
Field Goal,18.13274194410303,18713,N/A
Forced Fumble,22.198544415725753,29404,N/A
Fumble Recovery,31.679585431720312,13701,N/A
Interception,26.041502450392404,145895,N/A
Kick Return,28.089219820769635,7588,N/A
Pass,83.0312749822226,226411,N/A
Pass Defense,28.374433038911434,8378,N/A
Player Melt,105.02783442858222,52956,N/A
Pressure,3888.782608695652,46,N/A
Punt,15.204422253922967,7010,N/A
Punt Return,36.83849259757739,3715,N/A
Reception,30.782444109690736,692383,N/A
Rush,30.0044122720879,301432,N/A
Sack,21.620234499911174,112580,N/A
Safety,24.51293404800746,4291,N/A
Strip Sack,17.514570295284265,56725,N/A
Tackle,15.735395620254753,15937,N/A
Team Melt,99.55606754266009,33638,N/A
