Play_Type,mean,count,Position
2-Pt Attempt,11.14087591240876,1370,N/A
Block,42.319148936170215,47,N/A
Blocked Kick,14.561855670103093,388,N/A
Field Goal,12.108594657375145,1722,N/A
Forced Fumble,8.547517730496454,2820,N/A
Fumble Recovery,18.470456245325355,1337,N/A
Interception,19.37251338944147,10456,N/A
Kick Return,27.008146639511203,491,N/A
Pass,27.970989936331897,19476,N/A
Pass Defense,23.059144676979074,1099,N/A
Player Melt,46.540648095508814,7036,N/A
Pressure,1513.5,2,N/A
Punt,4.945686900958466,313,N/A
Punt Return,19.912087912087912,455,N/A
Reception,19.543841458643087,51116,N/A
Rush,16.863910648026685,26681,N/A
Sack,13.134561473768523,7491,N/A
Safety,8.453781512605042,238,N/A
Strip Sack,11.675013178703216,3794,N/A
Tackle,8.885488647581441,1013,N/A
Team Melt,46.31509695290859,2888,N/A
