Play_Type,mean,count,Position
2-Pt Attempt,28.555903049257232,6395,N/A
Block,97.84897229669347,1119,N/A
Blocked Kick,36.13006475485661,5405,N/A
Field Goal,24.779795311984152,9087,N/A
Forced Fumble,16.8919475809775,12133,N/A
Fumble Recovery,32.67358467395309,8143,N/A
Interception,24.5204639265159,68804,N/A
Kick Return,28.241730856366107,4414,N/A
Pass,48.873682549146835,114046,N/A
Pass Defense,35.72132006286014,3818,N/A
Player Melt,81.44341486679839,29354,N/A
Pressure,1793.5555555555557,9,N/A
Punt,16.26848,3125,N/A
Punt Return,25.758694872714234,2789,N/A
Reception,28.06033919514518,361208,N/A
Rush,28.06196479900146,166643,N/A
Sack,16.642814223101936,56584,N/A
Safety,16.454545454545453,1408,N/A
Strip Sack,18.478481924816847,24979,N/A
Tackle,13.35764527648523,9241,N/A
Team Melt,55.61590774689533,23674,N/A
