Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,14.837512882171076,8733,N/A
2-Pt Attempt,LEGENDARY,2715.1739130434785,23,N/A
2-Pt Attempt,RARE,99.867903930131,916,N/A
Block,RARE,88.50815217391305,2208,N/A
Blocked Kick,COMMON,26.761424944462075,12604,N/A
Blocked Kick,LEGENDARY,1189.140350877193,57,N/A
Field Goal,COMMON,11.882856039287093,18123,N/A
Field Goal,RARE,210.11016949152543,590,N/A
Forced Fumble,COMMON,20.719466907298788,28813,N/A
Forced Fumble,LEGENDARY,1124.8095238095239,21,N/A
Forced Fumble,RARE,56.3421052631579,570,N/A
Fumble Recovery,COMMON,21.807866108786612,11950,N/A
Fumble Recovery,LEGENDARY,1318.7941176470588,34,N/A
Fumble Recovery,RARE,74.89749563191613,1717,N/A
Interception,COMMON,10.912891772771792,114352,N/A
Interception,LEGENDARY,1101.365470852018,446,N/A
Interception,RARE,66.25092452648165,31097,N/A
Kick Return,COMMON,12.56294999027048,5139,N/A
Kick Return,RARE,60.66966108615762,2449,N/A
Pass,COMMON,45.709801440768146,203919,N/A
Pass,LEGENDARY,4056.0655339805826,412,N/A
Pass,RARE,353.57780797101447,22080,N/A
Pass Defense,COMMON,17.14204092479405,7526,N/A
Pass Defense,LEGENDARY,1185.6153846153845,39,N/A
Pass Defense,RARE,76.840098400984,813,N/A
Player Melt,COMMON,12.205874499332444,29960,N/A
Player Melt,LEGENDARY,2341.405693950178,1405,N/A
Player Melt,RARE,83.73312641867791,21587,N/A
Player Melt,ULTIMATE,24736.0,4,N/A
Pressure,LEGENDARY,3888.782608695652,46,N/A
Punt,COMMON,5.580334005182839,6946,N/A
Punt,LEGENDARY,1059.71875,64,N/A
Punt Return,COMMON,8.395584176632935,2174,N/A
Punt Return,RARE,76.96495781959766,1541,N/A
Reception,COMMON,19.319307403095596,628764,N/A
Reception,LEGENDARY,1828.0742049469964,849,N/A
Reception,RARE,120.08131661541893,62767,N/A
Reception,ULTIMATE,25592.333333333332,3,N/A
Rush,COMMON,21.74145283318343,283515,N/A
Rush,LEGENDARY,1435.7595190380762,499,N/A
Rush,RARE,124.22884372488231,17418,N/A
Sack,COMMON,12.038284766191166,104872,N/A
Sack,LEGENDARY,2191.090909090909,99,N/A
Sack,RARE,125.45787882770404,7609,N/A
Safety,COMMON,13.430769230769231,3835,N/A
Safety,RARE,117.71491228070175,456,N/A
Strip Sack,COMMON,12.005998238017582,53349,N/A
Strip Sack,LEGENDARY,777.4920634920635,63,N/A
Strip Sack,RARE,91.76697856927257,3313,N/A
Tackle,COMMON,10.79545159194282,15390,N/A
Tackle,RARE,154.72212065813528,547,N/A
Team Melt,COMMON,20.97622858218791,21244,N/A
Team Melt,LEGENDARY,2327.0567226890757,476,N/A
Team Melt,RARE,150.66026178889075,11918,N/A
