Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,9.83085501858736,2152,N/A
2-Pt Attempt,RARE,63.6551724137931,290,N/A
Block,RARE,59.76255707762557,219,N/A
Blocked Kick,COMMON,14.736343772760378,1373,N/A
Blocked Kick,LEGENDARY,665.0,3,N/A
Field Goal,COMMON,12.806217929369152,3313,N/A
Field Goal,RARE,168.22115384615384,104,N/A
Forced Fumble,COMMON,9.314897857498755,4014,N/A
Forced Fumble,RARE,47.311688311688314,154,N/A
Fumble Recovery,COMMON,33.740805223068556,4595,N/A
Fumble Recovery,LEGENDARY,1487.25,4,N/A
Fumble Recovery,RARE,51.628242074927954,347,N/A
Interception,COMMON,8.82767071404701,17954,N/A
Interception,LEGENDARY,874.9722222222222,36,N/A
Interception,RARE,51.11016225448335,5855,N/A
Kick Return,COMMON,9.01840490797546,489,N/A
Kick Return,RARE,57.80831826401447,553,N/A
Pass,COMMON,23.851159041636556,35978,N/A
Pass,LEGENDARY,2974.3333333333335,21,N/A
Pass,RARE,156.50018775816747,2663,N/A
Pass Defense,COMMON,10.993869209809265,1468,N/A
Pass Defense,LEGENDARY,806.25,8,N/A
Pass Defense,RARE,61.01510574018127,331,N/A
Player Melt,COMMON,11.10383249663279,8167,N/A
Player Melt,LEGENDARY,1162.2222222222222,270,N/A
Player Melt,RARE,55.62886869485052,7593,N/A
Pressure,LEGENDARY,1406.25,4,N/A
Punt,COMMON,5.935763888888889,576,N/A
Punt,LEGENDARY,1383.4,5,N/A
Punt Return,COMMON,8.650959860383944,573,N/A
Punt Return,RARE,58.18705035971223,139,N/A
Reception,COMMON,16.07775392206716,106194,N/A
Reception,LEGENDARY,1140.05,60,N/A
Reception,RARE,89.76416243654822,9850,N/A
Reception,ULTIMATE,11777.0,1,N/A
Rush,COMMON,15.108637911039617,53462,N/A
Rush,LEGENDARY,804.5714285714286,63,N/A
Rush,RARE,99.33236151603498,2744,N/A
Sack,COMMON,9.418027132674178,13047,N/A
Sack,LEGENDARY,1093.0,4,N/A
Sack,RARE,69.24137931034483,1740,N/A
Safety,COMMON,9.493927125506072,494,N/A
Safety,RARE,87.61111111111111,18,N/A
Strip Sack,COMMON,10.055050263283867,6267,N/A
Strip Sack,LEGENDARY,806.75,12,N/A
Strip Sack,RARE,57.322888283378745,734,N/A
Tackle,COMMON,8.603616133518775,2157,N/A
Tackle,RARE,96.45,40,N/A
Team Melt,COMMON,16.0281859792821,4151,N/A
Team Melt,LEGENDARY,1185.1363636363637,44,N/A
Team Melt,RARE,117.04101221640488,2292,N/A
