Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,17.507317073170732,5535,N/A
2-Pt Attempt,LEGENDARY,5000.0,1,N/A
2-Pt Attempt,RARE,93.96041909196741,859,N/A
Block,RARE,97.84897229669347,1119,N/A
Blocked Kick,COMMON,34.345754542083796,5394,N/A
Blocked Kick,LEGENDARY,911.0909090909091,11,N/A
Field Goal,COMMON,11.911145110038838,8497,N/A
Field Goal,RARE,210.11016949152543,590,N/A
Forced Fumble,COMMON,14.106970849176172,11835,N/A
Forced Fumble,LEGENDARY,1124.8095238095239,21,N/A
Forced Fumble,RARE,51.888086642599276,277,N/A
Fumble Recovery,COMMON,26.583228687037813,7167,N/A
Fumble Recovery,LEGENDARY,1389.7272727272727,11,N/A
Fumble Recovery,RARE,62.43730569948187,965,N/A
Interception,COMMON,10.48022115926741,54983,N/A
Interception,LEGENDARY,1049.915422885572,201,N/A
Interception,RARE,66.06747430249632,13620,N/A
Kick Return,COMMON,16.506645569620254,3160,N/A
Kick Return,RARE,57.813397129186605,1254,N/A
Pass,COMMON,32.639726796229176,105123,N/A
Pass,LEGENDARY,3379.795918367347,98,N/A
Pass,RARE,205.26254957507084,8825,N/A
Pass Defense,COMMON,14.845629262244266,3226,N/A
Pass Defense,LEGENDARY,1185.6153846153845,39,N/A
Pass Defense,RARE,76.40687160940325,553,N/A
Player Melt,COMMON,10.905631250419491,14899,N/A
Player Melt,LEGENDARY,1561.3009950248756,804,N/A
Player Melt,RARE,71.27104241447513,13651,N/A
Pressure,LEGENDARY,1793.5555555555557,9,N/A
Punt,COMMON,6.380967741935484,3100,N/A
Punt,LEGENDARY,1242.32,25,N/A
Punt Return,COMMON,8.395584176632935,2174,N/A
Punt Return,RARE,87.13658536585366,615,N/A
Reception,COMMON,20.11070391288012,335354,N/A
Reception,LEGENDARY,1589.890977443609,266,N/A
Reception,RARE,113.02427203439515,25585,N/A
Reception,ULTIMATE,25592.333333333332,3,N/A
Rush,COMMON,21.540722870316714,158756,N/A
Rush,LEGENDARY,1248.8274336283187,226,N/A
Rush,RARE,127.18652917373711,7661,N/A
Sack,COMMON,11.48339275661475,53290,N/A
Sack,LEGENDARY,2332.8333333333335,18,N/A
Sack,RARE,87.84371184371184,3276,N/A
Safety,COMMON,11.105184072126221,1331,N/A
Safety,RARE,108.92207792207792,77,N/A
Strip Sack,COMMON,11.637087009167963,23124,N/A
Strip Sack,LEGENDARY,777.4920634920635,63,N/A
Strip Sack,RARE,80.07589285714286,1792,N/A
Tackle,COMMON,11.321648351648351,9100,N/A
Tackle,RARE,144.75886524822695,141,N/A
Team Melt,COMMON,19.780633822156314,18207,N/A
Team Melt,LEGENDARY,1599.821052631579,95,N/A
Team Melt,RARE,149.76209977661952,5372,N/A
