Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,6.549382716049383,324
A.J. Brown,COMMON,WR,18.454741379310345,464
A.J. Brown,RARE,WR,169.5,42
A.J. Green,COMMON,WR,6.535211267605634,355
A.J. Green,RARE,WR,42.36046511627907,86
A.J. Moore Jr.,COMMON,DB,6.060085836909871,233
A.J. Terrell,COMMON,DB,6.518691588785047,214
AJ Dillon,COMMON,RB,10.099787685774947,471
Aaron Donald,COMMON,DL,28.41062801932367,207
Aaron Donald,LEGENDARY,DL,1264.25,8
Aaron Donald,RARE,DL,73.76076555023923,209
Aaron Jones,COMMON,RB,13.433451957295373,1405
Aaron Rodgers,COMMON,QB,22.824404761904763,1344
Aaron Rodgers,LEGENDARY,QB,7133.333333333333,3
Aaron Rodgers,RARE,QB,138.23300970873785,103
Adam Butler,COMMON,DL,5.898916967509026,277
Adam Thielen,COMMON,WR,6.534545454545454,550
Adrian Peterson,COMMON,RB,6.623873873873874,444
Aeneas Williams,RARE,DB,39.04225352112676,71
Ahman Green,RARE,RB,40.391304347826086,23
Aidan Hutchinson,LEGENDARY,DL,836.421052631579,19
Akiem Hicks,COMMON,DL,6.592592592592593,513
Albert Okwuegbunam,COMMON,TE,6.575757575757576,561
Alex Okafor,COMMON,DL,6.043478260869565,299
Alex Singleton,COMMON,LB,8.636690647482014,556
Alexander Mattison,COMMON,RB,6.414754098360656,610
Ali Marpet,RARE,OL,61.461077844311376,167
Allen Lazard,COMMON,WR,7.165137614678899,545
Allen Lazard,RARE,WR,46.094339622641506,53
Allen Robinson II,COMMON,WR,7.975471698113208,1060
Alvin Kamara,COMMON,RB,19.764866091693147,2203
Alvin Kamara,RARE,RB,72.56451612903226,62
Amani Oruwariye,RARE,DB,48.056994818652846,193
Amari Cooper,COMMON,WR,13.318801089918257,367
Amari Cooper,LEGENDARY,WR,697.75,4
Amari Cooper,RARE,WR,42.28373702422145,289
Ambry Thomas,COMMON,DB,10.705882352941176,255
Amon-Ra St. Brown,COMMON,WR,14.401834862385321,545
Amon-Ra St. Brown,LEGENDARY,WR,999.0,2
Amon-Ra St. Brown,RARE,WR,76.65258215962442,426
Andre Roberts,RARE,WR,44.57692307692308,78
Andrew Whitworth,COMMON,OL,6.9375,160
Andy Dalton,COMMON,QB,15.545643770443057,3363
Anquan Boldin,RARE,WR,41.93577981651376,109
Anthony Barr,RARE,LB,43.705882352941174,34
Antoine Wesley,COMMON,WR,6.255244755244755,286
Antonio Freeman,COMMON,WR,6.5115384615384615,260
Antonio Gibson,COMMON,RB,9.480676328502415,828
Arizona Cardinals,COMMON,Team,9.880952380952381,420
Arizona Cardinals,LEGENDARY,Team,1200.0,1
Asante Samuel,RARE,DB,37.13934426229508,122
Ashton Dulin,COMMON,WR,8.39221140472879,719
Atlanta Falcons,COMMON,Team,9.493927125506072,494
Austin Ekeler,COMMON,RB,26.259365994236312,2082
Austin Ekeler,LEGENDARY,RB,962.5,2
Austin Ekeler,RARE,RB,148.57843137254903,204
Azeez Ojulari,COMMON,LB,10.117455138662317,613
Baker Mayfield,COMMON,QB,7.4319809069212415,419
Baker Mayfield,RARE,QB,36.98342541436464,181
Baltimore Ravens,COMMON,Team,10.714285714285714,686
Baltimore Ravens,RARE,Team,119.05128205128206,39
Ben Roethlisberger,COMMON,QB,8.967592592592593,216
Ben Roethlisberger,LEGENDARY,QB,1105.0,2
Ben Skowronek,COMMON,WR,9.44055944055944,429
Blake Lynch,COMMON,LB,5.776173285198556,277
Bobby McCain,COMMON,DB,6.400530503978779,377
Bobby Wagner,RARE,LB,51.67785234899329,149
Boston Scott,COMMON,RB,6.957303370786517,445
Bradley Chubb,RARE,LB,64.53225806451613,62
Brandin Cooks,RARE,WR,63.98701298701299,77
Brandin Echols,COMMON,DB,5.956,250
Brandon Aiyuk,COMMON,WR,9.167128347183748,1083
Brandon Aiyuk,RARE,WR,38.57333333333333,75
Brandon McManus,COMMON,K,6.277310924369748,357
Brandon Powell,RARE,WR,41.72,25
Braxton Berrios,COMMON,WR,6.057347670250896,279
Braxton Berrios,RARE,WR,47.25,20
Breece Hall,COMMON,RB,22.490573942186845,2387
Breshad Perriman,LEGENDARY,WR,722.6666666666666,3
Brett Favre,COMMON,QB,32.81761006289308,159
Brett Favre,LEGENDARY,QB,1137.0,2
Brett Favre,RARE,QB,68.875,56
Brian Burns,COMMON,DL,6.401384083044983,289
Brian Dawkins,RARE,DB,42.824742268041234,194
Brian Johnson,COMMON,K,7.938388625592417,211
Brian Urlacher,COMMON,LB,8.956331877729257,458
Brian Urlacher,LEGENDARY,LB,943.0,6
Brock Wright,COMMON,TE,6.768571428571429,350
Bryan Edwards,RARE,WR,35.705882352941174,51
Bryant Young,LEGENDARY,DL,709.7777777777778,9
Bryant Young,RARE,DL,54.86666666666667,75
Budda Baker,COMMON,DB,6.608791208791208,455
Budda Baker,RARE,DB,45.4875,80
Buffalo Bills,COMMON,Team,17.838297872340426,470
Buffalo Bills,RARE,Team,295.64,25
Byron Leftwich,COMMON,QB,6.695652173913044,207
Byron Murphy Jr.,COMMON,DB,7.506437768240343,466
Byron Pringle,COMMON,WR,6.205047318611987,317
C.J. Gardner-Johnson,COMMON,DB,7.2669172932330826,266
C.J. Mosley,COMMON,LB,6.554726368159204,402
C.J. Uzomah,COMMON,TE,7.182608695652174,230
Cade York,COMMON,K,19.29371165644172,1304
Calvin Johnson,COMMON,WR,8.55,380
Cam Akers,COMMON,RB,5.827114427860696,804
Cam Newton,COMMON,QB,6.513513513513513,370
Cam Sims,RARE,WR,35.25925925925926,81
Cameron Heyward,RARE,DL,63.52054794520548,73
Cameron Jordan,RARE,DL,88.27058823529411,85
Cameron Sutton,COMMON,DB,7.56175972927242,591
Carlos Dunlap,RARE,DL,61.010989010989015,91
Carlos Watkins,RARE,DL,56.95,120
Carolina Panthers,COMMON,Team,9.528846153846153,416
Carson Wentz,COMMON,QB,15.26827371695179,1286
Carson Wentz,RARE,QB,52.049586776859506,121
Casey Hayward,RARE,DB,38.06382978723404,47
Cedrick Wilson Jr.,COMMON,WR,6.526315789473684,266
CeeDee Lamb,COMMON,WR,29.99345870809485,1223
CeeDee Lamb,RARE,WR,199.225,520
Chad Johnson,COMMON,WR,8.138047138047138,594
Chad Johnson,LEGENDARY,WR,635.4285714285714,7
Chandler Jones,RARE,LB,47.94690265486726,113
Charles Harris,COMMON,LB,5.836820083682008,239
Charles Tillman,COMMON,DB,8.225,520
Charles Tillman,LEGENDARY,DB,634.3333333333334,6
Chase Claypool,COMMON,WR,6.678571428571429,448
Chase Claypool,RARE,WR,48.62837837837838,296
Chase Edmonds,COMMON,RB,8.788679245283019,795
Chicago Bears,RARE,Team,114.04897959183674,245
Chidobe Awuzie,COMMON,DB,6.654008438818566,237
Chidobe Awuzie,RARE,DB,41.708333333333336,72
Chris Conley,COMMON,WR,6.397683397683398,259
Chris Godwin,LEGENDARY,WR,949.0,1
Chris Godwin,RARE,WR,90.73986486486487,296
Chris Harris Jr.,COMMON,DB,6.39647577092511,227
Chris Jones,COMMON,DL,6.182795698924731,279
Chris Miller,COMMON,QB,10.71563981042654,211
Chris Olave,COMMON,WR,14.420849420849422,1295
Christian Kirk,COMMON,WR,8.098159509202453,489
Christian McCaffrey,COMMON,RB,22.24514563106796,824
Christian McCaffrey,RARE,RB,62.18115942028985,276
Christian Watson,COMMON,WR,7.03078677309008,877
Christian Wilkins,RARE,DL,62.32222222222222,90
Chuba Hubbard,COMMON,RB,8.032751091703057,458
Chuck Clark,RARE,DB,41.57575757575758,99
Cincinnati Bengals,COMMON,Team,49.04117647058823,2210
Cincinnati Bengals,LEGENDARY,Team,2049.3333333333335,3
Cincinnati Bengals,RARE,Team,177.96987951807228,166
Cliff Branch,LEGENDARY,WR,687.0,2
Cliff Branch,RARE,WR,39.92,25
Clyde Edwards-Helaire,COMMON,RB,13.27977044476327,697
Clyde Edwards-Helaire,RARE,RB,52.348958333333336,384
Cole Holcomb,RARE,LB,41.1566265060241,83
Cooper Kupp,COMMON,WR,24.013361838588988,1871
Cooper Kupp,LEGENDARY,WR,2400.0,1
Cooper Kupp,RARE,WR,154.5,108
Cooper Rush,COMMON,QB,14.699886749716875,883
Cordarrelle Patterson,COMMON,WR,12.40470588235294,425
Cordarrelle Patterson,RARE,WR,39.21333333333333,75
Courtland Sutton,COMMON,WR,25.685694396101635,2873
Courtland Sutton,RARE,WR,112.5934065934066,91
Cris Carter,COMMON,WR,6.883720930232558,258
Cris Carter,LEGENDARY,WR,799.0,1
Cyril Grayson,COMMON,WR,6.617977528089888,267
D'Andre Swift,COMMON,RB,14.233269598470363,523
D'Andre Swift,RARE,RB,61.25320512820513,312
D'Ernest Johnson,COMMON,RB,6.003636363636364,275
D'Onta Foreman,COMMON,RB,14.20149761742682,1469
D.J. Reader,COMMON,DL,5.9743589743589745,234
D.J. Reed,RARE,DB,40.70322580645161,465
DJ Chark Jr.,COMMON,WR,5.99154334038055,473
DJ Moore,COMMON,WR,10.923890063424947,473
DJ Moore,RARE,WR,47.55555555555556,81
DK Metcalf,COMMON,WR,21.466434176111594,1147
DK Metcalf,LEGENDARY,WR,839.6666666666666,3
DK Metcalf,RARE,WR,158.22727272727272,66
Dak Prescott,COMMON,QB,19.266304347826086,552
Dak Prescott,LEGENDARY,QB,2876.0,3
Dallas Cowboys,COMMON,Team,23.419117647058822,408
Dallas Goedert,RARE,TE,166.46478873239437,71
Dalvin Cook,LEGENDARY,RB,1409.0,11
Dalvin Cook,RARE,RB,214.72980910425844,681
Dameon Pierce,LEGENDARY,RB,693.2121212121212,33
Damien Harris,COMMON,RB,9.249581239530988,597
Damien Harris,RARE,RB,44.077922077922075,77
Damiere Byrd,COMMON,WR,8.985777777777777,1125
Daniel Jones,COMMON,QB,12.005161290322581,775
Daniel Jones,RARE,QB,37.1822429906542,214
Daniel Sorensen,RARE,DB,46.613259668508285,181
Dare Ogunbowale,COMMON,RB,7.021645021645021,231
Darius Leonard,RARE,LB,70.6046511627907,43
Darius Slay Jr.,LEGENDARY,DB,497.5625,16
Darius Slay Jr.,RARE,DB,52.57560975609756,205
Darius Slayton,COMMON,WR,6.231231231231231,333
Darnell Mooney,COMMON,WR,10.827769347496206,1318
Darnell Mooney,RARE,WR,47.291666666666664,48
Darrel Williams,COMMON,RB,6.261044176706827,249
Darrell Henderson,COMMON,RB,9.141486810551559,417
Darren Waller,COMMON,TE,10.242735042735042,585
