Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,7.950181629475869,1927
A.J. Brown,COMMON,WR,29.43524699599466,2247
A.J. Brown,RARE,WR,257.26428571428573,140
A.J. Green,COMMON,WR,8.301115241635689,1076
A.J. Green,RARE,WR,51.67179487179487,195
A.J. Moore Jr.,COMMON,DB,6.86604774535809,754
A.J. Terrell,COMMON,DB,8.805120910384069,703
AJ Dillon,COMMON,RB,44.63547808254294,3901
Aaron Donald,COMMON,DL,50.81392557022809,833
Aaron Donald,LEGENDARY,DL,1594.4117647058824,17
Aaron Donald,RARE,DL,73.76076555023923,209
Aaron Jones,COMMON,RB,23.30028328611898,5295
Aaron Rodgers,COMMON,QB,44.38947696139477,3212
Aaron Rodgers,LEGENDARY,QB,11290.0,10
Aaron Rodgers,RARE,QB,293.6808510638298,423
Adam Butler,COMMON,DL,6.1415689810640215,1109
Adam Thielen,COMMON,WR,11.488054607508532,3516
Adrian Peterson,COMMON,RB,8.887659574468085,1175
Aeneas Williams,RARE,DB,92.85664335664336,572
Ahman Green,RARE,RB,71.71678321678321,286
Aidan Hutchinson,LEGENDARY,DL,838.1666666666666,36
Akiem Hicks,COMMON,DL,9.845744680851064,2820
Albert Okwuegbunam,COMMON,TE,11.697167755991286,2295
Alex Okafor,COMMON,DL,6.311934156378601,1215
Alex Singleton,COMMON,LB,8.722222222222221,1224
Alexander Mattison,COMMON,RB,6.414754098360656,610
Ali Marpet,RARE,OL,86.33739837398375,492
Allen Lazard,COMMON,WR,14.070167286245352,2152
Allen Lazard,RARE,WR,90.03879310344827,232
Allen Robinson II,COMMON,WR,8.760508849557523,1808
Alvin Kamara,COMMON,RB,23.706317586795674,3514
Alvin Kamara,RARE,RB,122.18297872340426,235
Amani Oruwariye,RARE,DB,50.03716216216216,296
Amari Cooper,COMMON,WR,29.33938764919564,1927
Amari Cooper,LEGENDARY,WR,1072.4333333333334,30
Amari Cooper,RARE,WR,42.28373702422145,289
Ambry Thomas,COMMON,DB,16.993662864385296,789
Amon-Ra St. Brown,COMMON,WR,31.463468171840702,3189
Amon-Ra St. Brown,LEGENDARY,WR,1627.888888888889,9
Amon-Ra St. Brown,RARE,WR,116.57805907172995,711
Andre Roberts,RARE,WR,50.3048128342246,187
Andrew Whitworth,COMMON,OL,9.87388535031847,785
Andy Dalton,COMMON,QB,13.449730700179533,4456
Anquan Boldin,RARE,WR,51.326530612244895,343
Anthony Barr,RARE,LB,57.38383838383838,198
Antoine Wesley,COMMON,WR,7.448275862068965,957
Antonio Freeman,COMMON,WR,7.074137931034483,1160
Antonio Freeman,LEGENDARY,WR,1052.75,8
Antonio Gibson,COMMON,RB,12.259722222222223,2160
Arizona Cardinals,COMMON,Team,10.503649635036496,1096
Arizona Cardinals,LEGENDARY,Team,1200.0,1
Asante Samuel,RARE,DB,43.35245901639344,488
Ashton Dulin,COMMON,WR,7.979941002949852,1695
Atlanta Falcons,COMMON,Team,11.105184072126221,1331
Austin Ekeler,COMMON,RB,45.344169246646025,5814
Austin Ekeler,LEGENDARY,RB,1406.1875,16
Austin Ekeler,RARE,RB,185.1891304347826,460
Azeez Ojulari,COMMON,LB,10.622485207100592,1690
Baker Mayfield,COMMON,QB,15.168414154652687,1526
Baker Mayfield,RARE,QB,59.21412300683371,439
Baltimore Ravens,COMMON,Team,10.714285714285714,686
Baltimore Ravens,RARE,Team,164.953125,128
Ben Roethlisberger,COMMON,QB,14.326742976066598,961
Ben Roethlisberger,LEGENDARY,QB,2384.4285714285716,7
Ben Skowronek,COMMON,WR,16.67730742539903,1441
Blake Lynch,COMMON,LB,6.332050048123195,1039
Bobby McCain,COMMON,DB,5.993970714900947,1161
Bobby Wagner,RARE,LB,51.67785234899329,149
Boston Scott,COMMON,RB,6.960535117056856,1495
Bradley Chubb,RARE,LB,75.30627306273063,271
Brandin Cooks,RARE,WR,91.95366795366796,259
Brandin Echols,COMMON,DB,8.308615049073063,917
Brandon Aiyuk,COMMON,WR,12.78997134670487,3490
Brandon Aiyuk,RARE,WR,38.57333333333333,75
Brandon McManus,COMMON,K,8.499691928527419,1623
Brandon Powell,RARE,WR,70.09734513274336,113
Braxton Berrios,COMMON,WR,6.739814814814815,1080
Braxton Berrios,RARE,WR,64.84269662921348,89
