Player,Position,mean,count
Tampa Bay Buccaneers,Team,7092.6875,16
Trey Lance,QB,4936.622222222222,45
Los Angeles Chargers,Team,3013.6511627906975,43
New Orleans Saints,Team,1866.02,50
New York Jets,Team,1836.093023255814,43
Jordan Willis,DL,1189.140350877193,57
Travis Homer,RB,1110.5862068965516,29
Pressley Harvin III,P,1059.71875,64
Breshad Perriman,WR,1002.4255319148937,47
George Pickens,WR,922.9677419354839,31
Michael Davis,DB,885.1090909090909,55
Aidan Hutchinson,DL,838.1666666666666,36
Travon Walker,LB,812.2142857142857,14
Zach Allen,DL,772.4347826086956,69
Dameon Pierce,RB,693.2121212121212,33
Green Bay Packers,Team,571.5967213114754,305
Tom Brady,QB,488.7778616081052,9278
Seattle Seahawks,Team,269.5034013605442,294
Rashod Bateman,WR,268.8041666666667,480
Dalvin Cook,RB,258.64658634538154,1494
Tony Boselli,OL,246.19665271966528,478
Sam Mills,LB,233.5888888888889,270
Aaron Rodgers,QB,223.6630961489416,3921
Brett Favre,QB,215.13167351129363,3896
Patrick Mahomes II,QB,212.13542104525712,14274
Justin Tucker,K,210.11016949152543,590
Richard Seymour,DL,200.1908396946565,262
Cliff Branch,WR,199.21238938053096,226
Ezekiel Elliott,RB,194.42806394316165,563
Dallas Goedert,TE,194.07679465776295,1198
San Francisco 49ers,Team,190.36951833213516,1391
Trevor Lawrence,QB,186.67082590612003,5049
Micah Parsons,LB,174.4958217270195,2513
Jacksonville Jaguars,Team,171.72119815668202,868
Chris Godwin,WR,168.98210922787194,1062
Justin Herbert,QB,167.9728306655434,9496
Micah Hyde,DB,163.63888888888889,1008
Khalil Mack,LB,159.67700258397932,387
Cameron Heyward,DL,156.84761904761905,840
Jaelan Phillips,LB,154.25470085470084,585
