Player,Position,mean,count
Travis Homer,RB,1160.0,1
Breshad Perriman,WR,799.0,1
Dameon Pierce,RB,772.125,16
George Pickens,WR,737.0,2
Aidan Hutchinson,DL,612.5,2
Jordan Willis,DL,537.5,2
Travon Walker,LB,506.6666666666667,3
Dalvin Cook,RB,272.60089686098655,223
Darius Slay Jr.,DB,250.7,10
Aaron Donald,DL,184.6,25
Tom Brady,QB,171.88095238095238,84
Dallas Goedert,TE,159.33333333333334,3
Seattle Seahawks,Team,148.5,2
Jacksonville Jaguars,Team,147.0,6
Justin Tucker,K,130.2,5
Ezekiel Elliott,RB,119.5,6
Green Bay Packers,Team,110.0,1
Patrick Mahomes II,QB,108.54385964912281,57
San Francisco 49ers,Team,100.33333333333333,3
DeSean Jackson,WR,88.77777777777777,18
Jaelan Phillips,LB,88.2,5
Micah Hyde,DB,85.0,1
Jared Goff,QB,83.0,4
Chris Godwin,WR,82.80327868852459,61
Khalil Mack,LB,81.5,2
New England Patriots,Team,80.66666666666667,9
Kirk Cousins,QB,79.875,8
Joe Haden,DB,75.0,1
Demarcus Lawrence,DL,70.8,10
Dak Prescott,QB,66.73015873015873,63
Robert Quinn,LB,66.33333333333333,3
Darius Leonard,LB,65.0,1
Devin Duvernay,WR,64.41666666666667,36
J.J. Watt,DL,64.33333333333333,3
Carlos Dunlap,DL,64.33333333333333,3
Joe Burrow,QB,64.2265625,128
Chicago Bears,Team,64.0,1
Brandin Cooks,WR,62.75,4
Russell Wilson,QB,60.32608695652174,46
Rasul Douglas,DB,59.72727272727273,33
