Player,Position,mean,count
Trey Lance,QB,5629.166666666667,6
Los Angeles Chargers,Team,3533.0,3
New Orleans Saints,Team,2015.4285714285713,7
Travis Homer,RB,1255.6666666666667,6
Pressley Harvin III,P,1242.32,25
New York Jets,Team,973.1875,16
Breshad Perriman,WR,927.0833333333334,12
George Pickens,WR,922.9677419354839,31
Michael Davis,DB,916.1333333333333,15
Jordan Willis,DL,911.0909090909091,11
Zach Allen,DL,885.15,20
Aidan Hutchinson,DL,838.1666666666666,36
Travon Walker,LB,812.2142857142857,14
Dameon Pierce,RB,693.2121212121212,33
Tom Brady,QB,390.2802013422819,1788
Green Bay Packers,Team,273.6466165413534,266
Seattle Seahawks,Team,269.5034013605442,294
Dalvin Cook,RB,248.4255707762557,1095
Dallas Goedert,TE,246.8623595505618,712
Tony Boselli,OL,246.19665271966528,478
Sam Mills,LB,233.5888888888889,270
Jacksonville Jaguars,Team,213.18848167539267,382
Justin Tucker,K,210.11016949152543,590
Richard Seymour,DL,200.1908396946565,262
Ezekiel Elliott,RB,200.05867970660148,409
Cliff Branch,WR,199.21238938053096,226
Micah Hyde,DB,180.9496124031008,258
Jaelan Phillips,LB,173.84677419354838,124
Patrick Mahomes II,QB,160.7423711855928,3998
Cameron Heyward,DL,156.84761904761905,840
Khalil Mack,LB,154.63030303030303,330
Bryant Young,DL,148.66334164588528,401
Tennessee Titans,Team,141.60333333333332,600
San Francisco 49ers,Team,138.67833698030634,457
Josh Allen,LB,135.66369710467706,449
Mike Williams,WR,133.04471544715446,1968
New England Patriots,Team,132.77047704770476,1111
Quinn Meinerz,OL,127.24299065420561,214
Kirk Cousins,QB,126.37698898408813,817
Rashod Bateman,WR,123.47465437788019,434
