Date,Player,Position,Team,Price,NFLALLDAY_ASSETS_URL
2022-10-13 00:00:00-07:00,A.J. Brown,WR,Tennessee Titans,61.5,https://assets.nflallday.com/editions/divisional_round/f1dfc621-8672-45d5-8c8d-a92f8ad0dce7/play_f1dfc621-8672-45d5-8c8d-a92f8ad0dce7_divisional_round_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,A.J. Green,WR,Arizona Cardinals,6.071428571428571,https://assets.nflallday.com/editions/move_the_chains/9b0a6df4-9c45-4a6a-bce6-d67109c87d05/play_9b0a6df4-9c45-4a6a-bce6-d67109c87d05_move_the_chains_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,A.J. Terrell,DB,Atlanta Falcons,6.0,https://assets.nflallday.com/editions/make_the_stop/63ebf06c-4967-4779-b90a-b712c4e7abf8/play_63ebf06c-4967-4779-b90a-b712c4e7abf8_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,AJ Dillon,RB,Green Bay Packers,9.125,https://assets.nflallday.com/editions/base/2ae1e1e3-1190-4fc4-8b4f-daba9f26368d/play_2ae1e1e3-1190-4fc4-8b4f-daba9f26368d_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,Aaron Jones,RB,Green Bay Packers,11.333333333333334,https://assets.nflallday.com/editions/divisional_round/fc4b14f6-5d31-487a-ac6e-00fde2f57b68/play_fc4b14f6-5d31-487a-ac6e-00fde2f57b68_divisional_round_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,Aaron Rodgers,QB,Green Bay Packers,27.833333333333332,https://assets.nflallday.com/editions/locked_in/0af2f287-8980-4131-8270-f9b1eb3ab77b/play_0af2f287-8980-4131-8270-f9b1eb3ab77b_locked_in_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,Adam Thielen,WR,Minnesota Vikings,6.181818181818182,https://assets.nflallday.com/editions/base/2a0eda65-8f9a-4435-96d8-0d826bd41c9d/play_2a0eda65-8f9a-4435-96d8-0d826bd41c9d_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,Adrian Peterson,RB,Seattle Seahawks,7.125,https://assets.nflallday.com/editions/base/9a772eac-ef5b-4b33-80ad-b4c56f889418/play_9a772eac-ef5b-4b33-80ad-b4c56f889418_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,Albert Okwuegbunam,TE,Denver Broncos,5.857142857142857,https://assets.nflallday.com/editions/base/ae01567f-b31b-475c-a5d7-80717ce7297a/play_ae01567f-b31b-475c-a5d7-80717ce7297a_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-10-13 00:00:00-07:00,Alex Okafor,DL,Kansas City Chiefs,5.857142857142857,https://assets.nflallday.com/editions/base/3cb28f35-fbba-4f09-822d-f155e5859ff0/play_3cb28f35-fbba-4f09-822d-f155e5859ff0_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
